county_name,state_name,Value
POSEY,INDIANA,1927.3
JOHNSON,INDIANA,1928.5
BOONE,INDIANA,1931.9
SAUK,WISCONSIN,1935.0
QUEEN ANNES,MARYLAND,1936.6
CALUMET,WISCONSIN,1944.0
WALWORTH,WISCONSIN,1944.8
SUFFOLK CITY,VIRGINIA,1945.2
HARDIN,KENTUCKY,1945.4
JEFFERSON,WISCONSIN,1945.8
KERN,CALIFORNIA,1947.2
FRANKLIN,TENNESSEE,1949.8
GREENE,OHIO,1952.5
CAROLINE,MARYLAND,1952.6
MARION,OHIO,1956.1
RICHMOND,VIRGINIA,1958.2
GENESEE,MICHIGAN,1959.0
GREEN LAKE,WISCONSIN,1959.4
MARSHALL,INDIANA,1961.0
WARREN,OHIO,1965.5
ELKHART,INDIANA,1967.7
LIVINGSTON,MICHIGAN,1972.2
GIBSON,INDIANA,1975.9
PREBLE,OHIO,1976.8
DAVIESS,KENTUCKY,1979.4
DE KALB,INDIANA,1979.7
ROBERTSON,TENNESSEE,1980.4
KOSCIUSKO,INDIANA,1989.4
KENT,MICHIGAN,1991.5
OZAUKEE,WISCONSIN,1993.7
UNION,OHIO,2011.3
ACCOMACK,VIRGINIA,2012.0
DEFIANCE,OHIO,2013.3
MIDDLESEX,VIRGINIA,2013.5
KEWAUNEE,WISCONSIN,2013.9
RANDOLPH,INDIANA,2025.2
NOBLE,INDIANA,2026.3
JEFFERSON,IDAHO,2026.7
OTTAWA,OHIO,2030.9
HILLSDALE,MICHIGAN,2034.6
MANITOWOC,WISCONSIN,2035.7
ROSS,OHIO,2036.6
WYANDOT,OHIO,2037.7
HOWARD,INDIANA,2042.4
FREDERICK,MARYLAND,2042.8
WASHINGTON,WISCONSIN,2046.8
HAMILTON,INDIANA,2046.9
WAYNE,INDIANA,2047.2
MACOMB,MICHIGAN,2047.7
SHEBOYGAN,WISCONSIN,2047.8
MIAMI,OHIO,2049.4
JAY,INDIANA,2051.0
LINCOLN,WASHINGTON,2051.1
KING WILLIAM,VIRGINIA,2051.8
LAWRENCE,TENNESSEE,2052.1
SHIAWASSEE,MICHIGAN,2055.5
ERIE,OHIO,2055.8
MIAMI,INDIANA,2056.4
PICKAWAY,OHIO,2056.5
ROCKINGHAM,VIRGINIA,2058.0
ESSEX,VIRGINIA,2061.2
WASHTENAW,MICHIGAN,2062.0
SPOKANE,WASHINGTON,2072.4
MERCER,OHIO,2074.9
LAPEER,MICHIGAN,2078.6
PAULDING,OHIO,2080.1
ISABELLA,MICHIGAN,2080.3
LOGAN,OHIO,2083.4
PUTNAM,OHIO,2086.1
CARROLL,MARYLAND,2089.3
NORTHUMBERLAND,VIRGINIA,2089.7
CHAMPAIGN,OHIO,2093.6
COLUMBIA,WISCONSIN,2095.7
PORTER,INDIANA,2098.3
CALDWELL,KENTUCKY,2098.6
GRANT,WASHINGTON,2098.9
GRANT,INDIANA,2103.9
WELLS,INDIANA,2104.0
HURON,OHIO,2104.0
WILLIAMS,OHIO,2107.1
DELAWARE,OHIO,2108.8
RUSH,INDIANA,2108.9
FAIRFIELD,OHIO,2111.6
EATON,MICHIGAN,2111.9
FOND DU LAC,WISCONSIN,2115.6
OGEMAW,MICHIGAN,2116.3
